Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
United Kingdom,People’s Vote protests,18-Jun,Free,"Discontent with the state of Brexit negotiations between the British government and the EU, and popular demands for a second Brexit referendum.",Concern over Brexit and its implications.,1 million,General public.,"1 year, 4 months (sporadic)",No policy/leadership change in response to the protests.,,,,,Thousands,,,,,,London
United Kingdom,Rising price protests,22-Apr,Free,"Rising prices for many goods, including fuel and food; call for protest by labor unions.",Frustration with rising prices and economic insecurity.,">1,000",General public.,7 months,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,X,,London
United Kingdom,Violence against women protest,21-Mar,Free,Widespread sexual harassment and the murder of Sarah Everard.,Anger over pervasive violence and discrimination against women.,">5,000","General public, especially women.",1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,London
United States,Stop Cop City protests,23-Jan,Free,"The Atlanta City Council voted to approve plans for a $90 million, eighty-five-acre Public Safety Training Center to train police officers, firefighters, and 9-1-1 operators, to be situated within a 300-acre forest in southwest unincorporated DeKalb County; in January 2023, police shot and killed protester Manuel Esteban Paez Teran, 26.",Fears over environmental damage caused by the construction of the facility and the possible consequences of the facility's use on the militarization of Atlanta's police; anger over the significant cost to taxpayers of the facility's construction.,">1,000",General public.,3 months,"No policy/leadership change in response to protests. On June 6, the Atlanta City Council voted overwhelmingly to approve $31 million in funding for the construction of the $90 million police and fire training complex.",,,X,,Thousands,,,,,,"Washington, D.C."
United States,Tennessee gun reform protests,23-Mar,Free,A shooting at a private elementary school in Tennessee killed six people including three students.,Anger over the unwillingness of the Tennessee legislature to pass legislation that makes it harder to purchase guns in the state.,">1,000","Democrats, supporters of gun control.",1 week,"The Tennessee House of Representatives voted to expel two Democratic lawmakers for attending the protest. Within four days, the body voted to reinstate both members.",,,X,,Thousands,X,,,,,"Washington, D.C."
United States,Abortion access protests,23-Jan,Free,"The 50th anniversary of the Supreme Court decision in Roe v. Wade, which found a constitutional right to abortion in the United States.",Anger with Supreme Court rulings and state legislation that chipped away at or eliminated access to legal abortion in many states.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,"Washington, D.C."
United States,“Keep Families Together” protest,18-Jun,Free,"President Donald Trump’s “zero tolerance” immigration policy, which separated children from their parents at the U.S. border with Mexico.",Government immigration policy.,">10,000","General public (including protests in all fifty states, with a significant number occurring in regions that had voted for Trump in 2016).",1 day,No policy/leadership change in response to the protests.,,X,,,Hundreds,X,,,,,"Washington, D.C."
United States,“Lights for Liberty” protest,19-Jul,Free,Conditions in migrant detention camps.,Opposition to President Donald Trump’s migration policies.,">100,000",Puerto Ricans.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,"Washington, D.C."
United States,“Telegramgate” protests,19-Jul,Free,Leak of Puerto Rico government officials’ racist and homophobic messages.,"Continued economic challenges, government mismanagement, and corruption.","500,000",Immigration activists.,1 week,Then Puerto Rican governor Ricardo Rosselló resigned.,,,X,,Thousands,,,,,,"Washington, D.C."
United States,Abortion ruling protests,22-May,Free,"The circulation of a leaked Supreme Court draft opinion that would overturn the court's prior ruling in Roe v. Wade, which guaranteed abortion rights; reignited in June 2022 by the Court overturing Roe v. Wade in a decision issued on June 24.",Anger over the decision's implications for women's rights and the perceived politicization of the judiciary.,">10,000",General public.,3 months,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,"Washington, D.C."
United States,Coronavirus protests,20-Apr,Free,"Extended business closures due to stay-at-home orders, conspiracy theories about vaccines, as well as restrictions on movement.",Economic impacts of statewide shutdowns and political contestation over the threat posed by the virus.,">10,000","Conservative organizers, grassroots groups.",14 months,"Some states, such as Florida and Texas, have consequently began to partially reopen.",,X,X,,Tens of thousands,X,,,X,X,"Washington, D.C."
United States,Electoral protests,20-Nov,Free,Allegations leveled by President Donald Trump and his allies that vote counts were inaccurate and that there had been significant electoral fraud.,"Belief of Trump supporters that Democrats would steal the election, and the call of President-elect Joe Biden supporters for respecting the electoral process and the will of voters.",">1,000",Supporters of Trump and supporters of Biden.,3 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,"Washington, D.C."
United States,Immigration ban protests,17-Jan,Free,President Donald Trump’s executive order preventing travelers from seven Muslim-majority nations from entering the country.,Concerns over discrimination against Muslims.,">10,000",General public.,3 days,No policy/leadership change in response to the protests.,,,,,Thousands,X,,,,,"Washington, D.C."
United States,Police brutality protests,20-May,Free,Excessive use of lethal force by police officers against unarmed Black civilians.,"Ongoing police brutality toward communities of Black people, and broader issues of systemic racism.",">1,000,000",General public.,15 months,Multiple local governments have reduced funding for the police. Some of the officers involved in the deaths of George Floyd and Breonna Taylor have been arrested.,,,X,,Over 1 million,X,X,X,X,,"Washington, D.C."
United States,Prison protest,20-Apr,Free,Rising number of coronavirus cases in Arizona immigrant detention facilities.,Risk of the coronavirus spreading within prisons or other detention facilities.,>700,Farmers’ organizations.,1 day,No policy/leadership change in response to the protest.,,,X,,Tens of thousands,,,,,,"Washington, D.C."
Uruguay,Farmer protest,18-Jan,Free,Rising taxes for farmers and rising fuel prices.,Lack of government support for farmers and increasing agriculture costs.,">10,000",Political opposition.,1 day,Then president Tabaré Vázquez met with representatives and announced measures such as reductions for fuel prices and electricity rates.,,,X,,Thousands,,,,,,Montevideo
Uzbekistan,Karakalpakstan region protests,22-Jul,Not free,The government announced plans to reduce the Karakalpakstan region's autonomy.,Discontent in the region with the national government's management of the region's access to water and jobs.,">1,000",Residents of Karakalpakstan,1 week,The government withdrew the controversial amendments regarding Karakalpakstan's autonomy.,,X,X,,Thousands,X,,X,,,Tashkent
Venezuela,January 2019 protests,19-Jan,Not free,Opposition leader Juan Guaidó’s self-declared claim to be the president of Venezuela.,"Economic collapse, corruption, food shortages, brutal government repression of dissidents, and political authoritarianism.",">100,000",General public.,"1 year, 3 months",No policy/leadership change in response to the protests.,,X,X,X,Thousands,,,,X,,Caracas
Venezuela,Public sector workers protests,23-Jan,Not free,Rapidly rising prices.,Economic hardships resulting from insufficient wages.,>100,"Public sector workers, especially teachers.",2 weeks,The government gave teachers a $30 bonus.,,X,X,,Hundreds,,,,,,Caracas
Venezuela,“Mother of All Marches” protests,17-Apr,Not free,Attempt by Venezuelan Supreme Court to dissolve the opposition-controlled legislature.,"Growing authoritarianism, economic crisis, and ensuing food and medicine shortages.","200,000",Working-class citizens who once represented one of the regime’s bastions of support.,3 months,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Caracas
Venezuela,Service delivery protests,20-Sep,Not free,Collapse of gasoline supply chains and degradation of water and energy infrastructure.,"Frustration over the lack of meaningful state action in response to the economic collapse, government corruption, and dilapidated infrastructure.",">1,000","General public, especially those outside of the capital.",4 months,No policy or leadership change in response to the protests.,,X,,X,Thousands,,,,X,,Caracas
